,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
1031,SFBC,36,08/09/2013,05/09/2022,3.0,0.17,200.0,1,2013,14
1032,GECC,56,12/28/2016,06/22/2022,1.1785714285714286,0.45,500.0,1,2016,0
1033,FUSB,31,12/10/2014,06/09/2022,3.0,0.03,100.0,1,2014,22
1034,LCNB,87,12/13/2000,05/31/2022,2.954022988505747,0.2,11.111111111111114,3,2000,0
1035,ALLE,34,03/13/2014,06/15/2022,2.911764705882353,0.41,33.33333333333334,1,2014,8
1036,PKG,37,06/12/2013,06/14/2022,2.918918918918919,1.25,37.5,1,2013,9
1037,RTLR,11,11/14/2019,05/12/2022,2.727272727272727,0.3,25.0,1,2019,3
1038,MOFG,57,05/29/2008,05/31/2022,2.9473684210526314,0.2375,41.666666666666686,2,2008,14
1039,UNP,36,08/28/2013,05/27/2022,2.9166666666666665,1.3,15.189873417721515,1,2013,9
1040,BUSE,95,10/16/1998,04/21/2022,2.968421052631579,0.23,240.0,3,1998,24
1041,CCLP,44,07/28/2011,04/28/2022,2.9318181818181817,0.01,724.468085106383,1,2011,11
1042,LUV,27,08/06/2013,03/03/2020,2.925925925925926,0.18,50.0,1,2013,9
1043,MA,37,07/05/2013,07/07/2022,2.918918918918919,0.49,83.33333333333334,1,2013,9
1044,ASTE,36,08/09/2013,05/12/2022,3.0,0.12,10.0,1,2013,10
1045,BFIN,33,08/11/2014,05/12/2022,2.909090909090909,0.1,100.0,1,2014,16
1046,CSPI,5,02/27/2019,02/27/2020,2.6,0.15,0.0,1,2019,22
1047,AOS,36,07/29/2013,04/28/2022,2.9166666666666665,0.28,28.571428571428555,1,2013,9
1048,NI,37,07/29/2013,07/28/2022,2.918918918918919,0.235,11.42857142857143,1,2013,9
1049,GAINN,8,04/14/2021,01/12/2023,2.625,0.3125,52.54237370870439,0,2021,1
1050,KLIC,17,06/27/2018,06/22/2022,2.823529411764706,0.17,21.428571428571416,1,2018,4
1051,LW,22,01/26/2017,05/05/2022,2.909090909090909,0.245,15.0,1,2017,5
1052,BSRR,93,07/20/1999,04/29/2022,2.935483870967742,0.23,125.0,3,1999,23
1053,BKR,20,08/09/2017,05/27/2022,2.85,0.18,5.882352941176464,1,2017,5
1054,GLBZ,88,06/30/2000,04/22/2022,3.0113636363636362,0.1,66.66666666666669,3,2000,24
1055,SAL,91,09/28/1999,05/12/2022,2.989010989010989,0.32,192.30769230769232,3,1999,23
1056,HOFT,85,08/15/2001,06/16/2022,2.976470588235294,0.2,25.0,3,2001,22
1057,C,36,08/01/2013,04/29/2022,2.888888888888889,0.51,400.0,1,2013,9
1058,LIN,8,09/02/2020,06/02/2022,3.0,1.17,10.377358490566039,1,2020,4
1059,GREEL,1,04/13/2022,04/13/2022,0.0,0.53125,0.0,0,2022,0
1060,STRA,21,06/01/2017,05/26/2022,2.9523809523809526,0.6,100.0,1,2017,26
1061,ABT,37,07/11/2013,07/14/2022,2.918918918918919,0.47,57.14285714285714,1,2013,9
1062,EBC,6,03/02/2021,06/02/2022,2.5,0.1,33.33333333333334,0,2021,1
1063,CFBK,6,01/20/2021,04/13/2022,2.8333333333333335,0.04,33.33333333333334,0,2021,23
1064,VERY,1,12/09/2019,12/09/2019,0.0,6.25,0.0,0,2019,3
1065,FANH,17,03/28/2018,04/11/2022,3.0588235294117645,0.15,25.0,1,2018,13
1066,BYFC,22,01/05/2005,04/08/2010,2.9545454545454546,0.01,0.0,1,2005,26
1067,VALU,136,12/05/1988,04/29/2022,2.9411764705882355,0.25,6900.0,4,1988,34
1068,JCI,36,09/04/2013,06/17/2022,2.9166666666666665,0.35,66.20689655172413,1,2013,9
1069,ROP,37,07/10/2013,07/07/2022,2.918918918918919,0.62,25.0,1,2013,9
1070,AUB,66,02/14/2006,05/19/2022,3.015151515151515,0.28,25.0,2,2006,28
1071,CAT,37,07/18/2013,07/19/2022,2.918918918918919,1.2,19.767441860465112,1,2013,9
1072,IRMD,1,02/16/2022,02/16/2022,0.0,1.0,0.0,0,2022,0
1073,SJM,36,08/14/2013,05/12/2022,2.9166666666666665,0.99,11.940298507462686,1,2013,9
1074,NBTB,89,05/30/2000,05/31/2022,3.0,0.28,11.764705882352928,3,2000,30
1075,BPYPN,9,05/29/2020,05/31/2022,2.6666666666666665,0.359375,0.0,1,2020,2
1076,MAA,37,07/11/2013,07/14/2022,2.918918918918919,1.25,14.995400183992643,1,2013,9
1077,SEVN,42,12/21/2011,04/22/2022,3.0476190476190474,0.25,250.0,1,2011,15
1078,WTW,78,03/27/2003,06/29/2022,2.9615384615384617,0.82,54.83870967741936,2,2003,19
1079,UBSI,135,12/06/1988,06/09/2022,2.977777777777778,0.36,13.333333333333343,4,1988,34
1080,AMCR,11,11/26/2019,05/24/2022,2.909090909090909,0.12,2.564102564102555,1,2019,3
1081,NTES,33,05/23/2014,06/07/2022,3.0303030303030303,0.322,629.8076923076923,1,2014,9
1082,UAL,1,01/07/2008,01/07/2008,0.0,2.15,0.0,1,2008,14
1083,MMLP,78,01/29/2003,05/05/2022,2.9743589743589745,0.005,62.49593760155997,2,2003,19
1084,TILE,61,05/09/2007,06/02/2022,3.0,0.01,300.0,2,2007,34
1085,KHC,29,07/23/2015,05/26/2022,2.8275862068965516,0.4,4.545454545454518,1,2015,7
1086,RCKY,37,05/23/2013,05/31/2022,2.918918918918919,0.155,16.666666666666686,1,2013,9
1087,ATCOL,6,07/14/2021,10/13/2022,2.5,0.445313,0.0,0,2021,1
